,País,Region,Location,Magnitud,Clasificación,Daños Económicos,Fecha
53,United States of America,Americas,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington districts (Florida province), Alabama, Mississippi, Louisiana provinces",20116.0,Hydrological,174000.0,2012-06-09
54,Taiwan (Province of China),Asia,Taiwan Sheng province,18940.0,Hydrological,16900.0,2012-06-09
55,Brazil,Americas,"Alvaraes, Amatura, Anama, Anori, Autazes, Barcelos, Barreirinha, Benjamin Costant, Beruri, Careiro, Careiro Da Varzea, Coari, Codajas, Fonte Boa, Iranduba, Itacoatiara, Itapiranga, Jurua, Jutai, Manacapuru, Manaquiri, Manaus, Maraa, Nhamunda, Novo Airao, Parintins, Santa Isabel Do Rio Negro, Santo Antonio Do Ica, Sao Gabriel Da Cachoeira, Sao Paulo De Olivenca, Silves, Tabatinga, Tefe, Tonantins, Uarini, Urucara, Urucurituba districts (Amazonas province)",127883.0,Hydrological,171000.0,2012-05-01
56,Nepal,Asia,"Kaski area (Gandaki district, Western province)",4395.0,Hydrological,1000.0,2012-05-05
57,Colombia,Americas,Soacha district (Cundinamarca province),74036.0,Hydrological,40000.0,2012-04-20
58,Senegal,Africa,"Touba city (Ndame area, Mbacke district, Diourbel province), Diaoulé village (Diakhao area, Fatick district, Fatick province), Dakar province",79242.0,Hydrological,10000.0,2012-08-15
59,India,Asia,"Palchan village (Kullu district, Himachal Pradesh province), Uttarkashi, Rudra Prayag, Chamoli districts (Uttarakhand province), Moradabad district (Uttar Pradesh province), Kathua village (72780 district, Jammu and Kashmir province)",31390.0,Hydrological,110000.0,2012-08-04
60,Viet Nam,Asia,"Ninh Binh, Ha Tinh, Thanh Hoa, Nghe An provinces",24179.0,Hydrological,30000.0,2012-09-02
61,India,Asia,"Rudra Prayag, Bageshwar districts (Uttarakhand province)",37710.0,Hydrological,20000.0,2012-09-16
62,India,Asia,"Barpeta, Bongaigaon, Darrang, Dhemaji, Dhuburi, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup, Lakhimpur, Marigaon, Nagaon, Nalbari, Papum Pare, Sibsagar, Sonitpur, Tinsukia districts (Assam province), Bhagalpur, Darbhanga, Katihar, Khagaria, Muzaffarpur, Patna, Siwan, Supaul districts (Bihar province), Sahibganj district (Jharkhand province), North Sikkim district (Sikkim province), Ballia, Bara Banki, Faizabad districts (Uttar Pradesh province), Murshidabad district (West Bengal province), West Siang, East Siang, Lohit, Papum Pare districts (Arunachal Pradesh province)",42597.0,Hydrological,98000.0,2012-09-19
63,United Kingdom of Great Britain and Northern Ireland,Europe,"Morpeth, Newburn, Cheshire, Rothbury, Gilling west villages (Northumberland district) (England province) ; North Yorkshire district (England province)",8507.0,Hydrological,81000.0,2012-09-23
64,South Africa,Africa,"Bathurst, Port Alfred, Kenton-on-Sea towns (Ndlambe area, Cacadu district, Eastern Cape province), Grahamstown town (Makana area, Cacadu district, Eastern Cape province)",14489.0,Hydrological,200000.0,2012-10-24
65,China,Asia,"Wuhan, Huangshi districts (Hubei Sheng province)",92141.0,Hydrological,600000.0,2012-07-09
66,Sri Lanka,Asia,"Matale, Kandy, Nuwara Eliya districts (Central province), Batticaloa district (Eastern province), Polonnaruwa, Kurunegala districts (North Central province), Galle, Hambantota districts (Southern province), Badulla, Moneragala districts (Uva province)",49084.0,Hydrological,1200.0,2012-12-17
67,Indonesia,Asia,Dki Jakarta province,1746.0,Hydrological,3000000.0,2013-01-17
68,Indonesia,Asia,"Kota Manado, Kepulauan-sangihe districts (Sulawesi Utara province), Rokanhulu district (Riau province)",28873.67,Hydrological,2000.0,2013-02-15
69,Mauritius,Africa,Port Louis province,1679.67,Hydrological,2000.0,2013-03-30
70,Argentina,Americas,"Buenos Aires city (Buenos Aires D.f. province), La Plata city (La Plata district, Buenos Aires province)",18135.4,Hydrological,1300000.0,2013-04-01
71,Kenya,Africa,"Naivasha town (Nakuru district, Rift Valley province), Turkana, West Pokot, Baringo, Marakwet, Keiyo districts (Rift Valley province), Kisumu district (Nyanza province), Muranga, Nyeri, Kiambu districts (Central province), Coast, Western provinces",73170.41,Hydrological,36000.0,2013-03-10
72,Canada,Americas,"Calgary city (Division No. 6 district, Southern Alberta province)",307926.0,Hydrological,5700000.0,2013-06-20
73,India,Asia,"Uttarakhand, Himachal Pradesh, Uttar Pradesh, Bihar, Karnataka, Kerala, Gujarat, West Bengal provinces",131743.41,Hydrological,1100000.0,2013-06-12
74,China,Asia,"Guangdong Sheng, Jiangxi Sheng, Hubei Sheng, Sichuan Sheng, Guizhou Sheng provinces",84761.74,Hydrological,661000.0,2013-05-12
75,Germany,Europe,"Gera, Greiz, Saale-Holzland, Altenburger cities (Thueringen province), Magdeburg city (Sachsen-Anhalt province), Wurzburg, Regensburg cities (Oberpfalz distric), Passau city (Niederbayern distric), Rosenheim city (Oberbayern distric) (Bayern province), Grimma city (Sachsen province) ; Brandenburg, Baden-Wurttemberg province",241203.7,Hydrological,12900000.0,2013-05-28
76,China,Asia,"Dujiangyan Shi area (Chengdu district, Sichuan Sheng province), Wenchuan Xian area (Ngawa Tibetan and Qiang district, Sichuan Sheng province), Beichuan Xian area (Mianyang district, Sichuan Sheng province)",419827.15,Hydrological,4621600.0,2013-07-07
77,China,Asia,"Qinghai Sheng, Nei Mongol Zizhiqu provinces",93531.74,Hydrological,457000.0,2013-08-18
